Response_id,Year,Earnings,Books,Relationship,Sleep,PhoneTime,Breakfast,Triangle,GPA
1166955,2 Sophomore,15000,15,Yes,8,3,5,Sleep and Good Grades,3.5
1167010,4 Senior,16000,4,Yes,7,4,0,Social Life and Good Grades,3
1167023,3 Junior,6000,3,No,7,1,7,Social Life and Good Grades,3.7
1167071,1st year,3000,25,Yes,8,3,5,Sleep and Good Grades,
1167545,1st year,3000,2,No,8,4,0,Social Life and Good Grades,
1168285,1st year,3500,2,No,6.5,6,7,Social Life and Good Grades,
1168553,3 Junior,5500,4,Yes,8.5,2,7,Sleep and Good Grades,4
1168749,4 Senior,8000,15,Yes,7,6,5,Social Life and Good Grades,3.6
1168898,4 Senior,20000,8,No,5,8,3,Social Life and Good Grades,2.8
1170080,5 Graduate,25000,3,Yes,6,3,2,Sleep and Good Grades,
1170082,4 Senior,6000,20,No,9,3,6,Social Life and Good Grades,3.65
1170095,4 Senior,4000,2,No,7.5,3,7,Sleep and Good Grades,3.22
1170119,2 Sophomore,5000,3,No,6,6,1,Social Life and Good Grades,3.35
1170121,4 Senior,6000,5,No,7.5,3,4,Social Life and Good Grades,3.8
1170428,4 Senior,5000,2,Yes,8,3,7,Sleep and Good Grades,3.89
1170508,3 Junior,2000,1,No,7.5,3,7,Social Life and Good Grades,3.7
1170593,3 Junior,6000,5,Yes,6.5,2,5,Sleep and Good Grades,4
1170744,1st year,4100,28,No,7,4,6,Sleep and Good Grades,
1170957,5 Graduate,14000,1,Yes,8.5,3.5,7,Sleep and Good Grades,3.51
1170958,4 Senior,4000,3,No,9,2,7,Social Life and Good Grades,3.85
1170999,3 Junior,2000,0,No,8,2,7,Social Life and Good Grades,3.95
1171203,4 Senior,5000,12,No,8,4,2,Social Life and Good Grades,3.8
1171243,1st year,3000,5,No,6,4,0,Social Life and Good Grades,
1171334,1st year,1500,30,No,6,4,6,Sleep and Good Grades,
1171378,2 Sophomore,10000,50,Yes,8,4,7,Sleep and Good Grades,3.9
1171397,4 Senior,10000,3,No,7.5,3.5,7,Sleep and Social Life,3.13
1171425,3 Junior,2564,3,No,8,5,1,Social Life and Good Grades,3.54
1171426,4 Senior,2000,1,Yes,6,7,3,Social Life and Good Grades,3.22
1171438,3 Junior,0,1,Yes,8,3,7,Sleep and Good Grades,3.7
1171445,4 Senior,15000,2,No,7.5,2,4,Social Life and Good Grades,
1171448,3 Junior,7500,0,No,8,4,7,Social Life and Good Grades,3.6
1171517,5 Graduate,20000,1,No,8,5,7,Sleep and Good Grades,3.92
1171529,4 Senior,15000,4,Yes,7,5,7,Social Life and Good Grades,2.67
1171593,3 Junior,4000,1,Yes,8,4,5,Social Life and Good Grades,3.8
1171608,3 Junior,9000,0,Yes,5,5,2,Social Life and Good Grades,3.1
1171629,4 Senior,6000,1,Yes,8,4,3,Sleep and Social Life,2.89
1171635,4 Senior,2000,2,Sort of/ Not sure,7,4,5,Sleep and Good Grades,3.4
1171641,3 Junior,2000,3,No,8,3,7,Social Life and Good Grades,3.67
1171692,4 Senior,7500,4,No,8.5,2,7,Sleep and Good Grades,3.3
1171706,3 Junior,10000,1,Yes,9,1,7,Social Life and Good Grades,3.56
1171710,3 Junior,5000,4,No,9,4,7,Sleep and Good Grades,3.9
1171727,4 Senior,3200,3,No,8,3,2,Social Life and Good Grades,2.8
1171736,3 Junior,3000,2,No,6.5,4,7,Social Life and Good Grades,3.6
1171738,3 Junior,3000,1,Yes,8,7,0,Social Life and Good Grades,2.85
1171743,4 Senior,14000,12,No,8,4,6,Sleep and Good Grades,3.7
1171792,3 Junior,0,0,No,8,8,0,Sleep and Good Grades,3.4
1171794,3 Junior,6000,8,Sort of/ Not sure,5,4,7,Social Life and Good Grades,4
1171805,5 Graduate,0,0,No,7,6,7,Sleep and Good Grades,3.93
1171813,4 Senior,5000,3,No,8,4,4,Sleep and Good Grades,3.3
1171814,,,1,No,8,5,7,,3.2
1171818,4 Senior,6500,12,Yes,7,3,3,Social Life and Good Grades,3.4
1171823,2 Sophomore,500,2,No,7,3,7,Social Life and Good Grades,3.5
1171896,2 Sophomore,2000,3,No,8,3,4,Sleep and Good Grades,3.7
1171903,4 Senior,10800,2,No,7.5,3,5,Social Life and Good Grades,2.9
1171913,2 Sophomore,0,3,No,8.5,8,5,Sleep and Good Grades,
1171929,4 Senior,3000,4,No,5,7,0,Social Life and Good Grades,
1171936,3 Junior,30000,3,Yes,7.5,2,6,Social Life and Good Grades,3.7
1171938,3 Junior,18000,5,Sort of/ Not sure,8,5,4,Social Life and Good Grades,3.85
1171947,3 Junior,5500,0,No,6.5,4,7,Social Life and Good Grades,3.55
1171948,4 Senior,0,20,No,7,4,5,Social Life and Good Grades,
